Date,Price,Open,High,Low,Vol.,Change %
24-Dec-15,468,468.62,471.62,467.38,-,-0.35%
23-Dec-15,469.62,472.62,474.88,468.38,-,-0.42%
22-Dec-15,471.62,479.5,482.62,471.62,-,-1.57%
21-Dec-15,479.12,485.75,490.88,478.38,-,-1.44%
18-Dec-15,486.12,486.12,498.88,481.38,-,0.46%
17-Dec-15,483.88,483.5,488.12,472.38,-,0.10%
16-Dec-15,483.38,493.12,496.75,483.38,-,-2.13%
15-Dec-15,493.88,493.38,497.88,486.38,-,0.10%
14-Dec-15,493.38,491.38,496.88,488.62,-,0.61%
11-Dec-15,490.38,494.75,497.88,487.62,-,-1.01%
10-Dec-15,495.38,488.88,497.88,485.62,-,1.17%
9-Dec-15,489.62,481.62,491.12,481.5,-,1.71%
8-Dec-15,481.38,481.5,483.62,476.62,-,-0.31%
7-Dec-15,482.88,489.38,492.88,482.12,-,-0.36%
4-Dec-15,484.62,479.25,484.88,478.38,-,1.31%
3-Dec-15,478.38,466.88,483.88,466.12,-,2.41%
2-Dec-15,467.12,471.25,473.38,465.62,-,-0.90%
1-Dec-15,471.38,474.62,480.12,470.88,-,-0.89%
30-Nov-15,475.62,476.62,480.38,475.12,-,-0.70%
27-Nov-15,479,487.62,487.62,478.12,-,-1.77%
25-Nov-15,487.62,488.38,492.38,487.38,-,-0.10%
24-Nov-15,488.12,496.75,497.12,487.88,-,-1.86%
23-Nov-15,497.38,487.25,499.62,485.88,-,1.69%
20-Nov-15,489.12,489.38,494.88,486.38,-,-0.25%
19-Nov-15,490.38,483,492.75,481.62,-,1.45%
18-Nov-15,483.38,487.38,490.25,480.62,-,-0.90%
17-Nov-15,487.75,493.5,494,484.62,-,-1.24%
16-Nov-15,493.88,494.88,498,490.5,-,-0.45%
13-Nov-15,496.12,496.5,499.75,491.62,-,-0.30%
12-Nov-15,497.62,496,500.5,492.38,-,0.50%
11-Nov-15,495.12,491.88,498,490.38,-,0.76%
10-Nov-15,491.38,502.38,503.75,488.12,-,-2.04%
9-Nov-15,501.62,520.38,521.25,501.38,-,-4.06%
6-Nov-15,522.88,524.75,526,517.88,-,-0.57%
5-Nov-15,525.88,524.5,529,520.38,-,-0.09%
4-Nov-15,526.38,516.12,530.75,508.38,-,1.94%
3-Nov-15,516.38,507.62,516.62,506,-,1.67%
2-Nov-15,507.88,521.38,522.75,506.88,-,-2.73%
30-Oct-15,522.12,515.25,523.75,515.12,-,1.31%
29-Oct-15,515.38,505.75,517.25,505.12,-,1.88%
28-Oct-15,505.88,507.62,508.75,500.12,-,-0.64%
27-Oct-15,509.12,509.88,518,506.62,-,-0.05%
26-Oct-15,509.38,493.62,512,493.62,-,3.82%
23-Oct-15,490.62,490.5,494.25,484.88,-,-0.05%
22-Oct-15,490.88,494.75,500.5,490.62,-,-0.76%
21-Oct-15,494.62,491.88,497.5,490.38,-,0.82%
20-Oct-15,490.62,486.38,491.62,483.62,-,1.08%
19-Oct-15,485.38,491.38,493.5,484.38,-,-1.42%
16-Oct-15,492.38,502.62,505.88,489.88,-,-1.94%
15-Oct-15,502.12,507.25,512.75,502.12,-,-1.23%
14-Oct-15,508.38,518.38,519.75,507.62,-,-2.02%
13-Oct-15,518.88,507,521.75,505.12,-,2.37%
12-Oct-15,506.88,507.38,510.62,503.38,-,-0.25%
9-Oct-15,508.12,511,519.5,504.62,-,-0.59%
8-Oct-15,511.12,516,522,509.38,-,-1.06%
7-Oct-15,516.62,525.38,531.5,515.12,-,-1.76%
6-Oct-15,525.88,514.62,526.62,513.12,-,1.94%
5-Oct-15,515.88,512.38,518,508.88,-,0.63%
2-Oct-15,512.62,516.75,523,512.62,-,-1.04%
1-Oct-15,518,512.38,523.75,511.88,-,1.12%
30-Sep-15,512.25,503.38,515.5,498.38,-,1.66%
29-Sep-15,503.88,505.88,509.75,500.62,-,-0.44%
28-Sep-15,506.12,508.5,515.5,500.38,-,-0.39%
25-Sep-15,508.12,497.88,510.5,496.38,-,2.21%
24-Sep-15,497.12,506,509,496.88,-,-2.07%
23-Sep-15,507.62,494.25,508.5,493.88,-,2.47%
22-Sep-15,495.38,496.38,496.5,488.38,-,-0.25%
21-Sep-15,496.62,486.25,499.25,480.62,-,2.05%
18-Sep-15,486.62,481.62,489,480.12,-,1.20%
17-Sep-15,480.88,488.25,489.75,480.88,-,-1.64%
16-Sep-15,488.88,494.12,495,483.12,-,-1.21%
15-Sep-15,494.88,500.62,503.25,492.38,-,-1.30%
14-Sep-15,501.38,486.38,501.62,485.88,-,3.35%
11-Sep-15,485.12,477.88,485.5,468.62,-,1.46%
10-Sep-15,478.12,472.25,479.5,471.5,-,1.16%
9-Sep-15,472.62,473,481,471.12,-,-0.53%
8-Sep-15,475.12,469.12,476.62,469.12,-,1.71%
4-Sep-15,467.12,465.88,469.62,463.12,-,0.48%
3-Sep-15,464.88,479.25,479.38,464.88,-,-2.97%
2-Sep-15,479.12,486.12,490,476.62,-,-1.34%
1-Sep-15,485.62,484.12,491.5,482.12,-,0.05%
31-Aug-15,485.38,484.12,485.88,476.62,-,1.62%
28-Aug-15,477.62,484.88,487.75,476.12,-,-1.47%
27-Aug-15,484.75,490.75,495.38,481.62,-,-1.27%
26-Aug-15,491,498.38,499.88,488.38,-,-1.11%
25-Aug-15,496.5,504.12,511.25,492.62,-,-1.54%
24-Aug-15,504.25,498.12,504.38,487.5,-,0.98%
21-Aug-15,499.38,504.5,507.12,495.75,-,-0.94%
20-Aug-15,504.12,495.75,507.62,495.5,-,1.59%
19-Aug-15,496.25,494.88,498.38,491.12,-,0.15%
18-Aug-15,495.5,500,503.38,493.38,-,-1.02%
17-Aug-15,500.62,503.62,508.75,498.5,-,-1.04%
14-Aug-15,505.88,503.12,512,497.88,-,0.50%
13-Aug-15,503.38,492.75,504.62,492.12,-,1.95%
12-Aug-15,493.75,507.38,514.62,484.12,-,-2.64%
11-Aug-15,507.12,522.88,524.38,504.12,-,-3.15%
10-Aug-15,523.62,511.88,529.88,509.38,-,2.55%
7-Aug-15,510.62,508.12,513.88,503.88,-,0.69%
6-Aug-15,507.12,502.12,514.12,498.38,-,0.90%
5-Aug-15,502.62,494.38,504.62,492.12,-,1.80%
4-Aug-15,493.75,499.75,506.88,491.38,-,-1.42%
3-Aug-15,500.88,497.12,500.88,490.62,-,0.55%
