Oakland Raiders,DEF,OAK,@TEN,6,4700,1.7,10.3,4.3
Clive Walford,TE,OAK,@TEN,1.6,4700,0,11,5.5
Cordarrelle Patterson,WR,OAK,@TEN,2.9,5200,0,12.8,6.4
Lee Smith,TE,OAK,@TEN,0.5,4500,0,10.2,5.1
Jamize Olawale,RB,OAK,@TEN,1,4500,0,11.4,5.7
Johnny Holton,WR,OAK,@TEN,0.5,4500,0,10.7,5.35
Darren Sproles,RB,PHI,@WAS,9.6,5500,2.1,18.3,8.1
Zach Ertz,TE,PHI,@WAS,8.4,5900,1.8,15.5,6.85
Alshon Jeffery,WR,PHI,@WAS,11.2,7000,3.3,20.3,8.5
Carson Wentz,QB,PHI,@WAS,17.1,7100,7.3,29.1,10.9
Torrey Smith,WR,PHI,@WAS,7.1,5100,0.2,16.5,8.15
LeGarrette Blount,RB,PHI,@WAS,7.7,6200,0.8,16.8,8
Nelson Agholor,WR,PHI,@WAS,6.3,4900,0.4,15.8,7.7
Caleb Sturgis,K,PHI,@WAS,7.3,4600,2.4,12.5,5.05
Philadelphia Eagles,DEF,PHI,@WAS,5.9,4500,1.7,10.2,4.25
Wendell Smallwood,RB,PHI,@WAS,3.7,4700,0,13.6,6.8
Trey Burton,TE,PHI,@WAS,2.3,4600,0,11.4,5.7
Donnel Pumphrey,RB,PHI,@WAS,2.3,4500,0,12.5,6.25
Mack Hollins,WR,PHI,@WAS,2.4,4500,0,12.3,6.15
Brent Celek,TE,PHI,@WAS,0.9,4500,0,10.4,5.2
LeVeon Bell,RB,PIT,@CLE,23.3,9300,11.2,29.5,9.15
Antonio Brown,WR,PIT,@CLE,16.6,9100,6.1,24.9,9.4
Martavis Bryant,WR,PIT,@CLE,11.3,6500,2.2,20.2,9
Ben Roethlisberger,QB,PIT,@CLE,18.8,8200,9.7,30.1,10.2
Pittsburgh Steelers,DEF,PIT,@CLE,8.3,4800,2.4,14.3,5.95
Jesse James,TE,PIT,@CLE,4.4,4700,0.2,12.8,6.3
Chris Boswell,K,PIT,@CLE,7.9,4800,2.9,13,5.05
Vance McDonald,TE,PIT,@CLE,3.2,4700,0,12,6
Eli Rogers,WR,PIT,@CLE,4.2,4700,0,14,7
JuJu Smith-Schuster,WR,PIT,@CLE,2.6,4800,0,12.6,6.3
James Conner,RB,PIT,@CLE,2.6,5800,0,12.7,6.35
Darrius Heyward-Bey,WR,PIT,@CLE,1.5,4700,0,11.6,5.8
Jimmy Graham,TE,SEA,@GB,11.4,6200,3.2,17.6,7.2
Doug Baldwin,WR,SEA,@GB,13.6,7500,4.4,22.4,9
Russell Wilson,QB,SEA,@GB,19.5,8000,9.1,31.2,11.05
Paul Richardson,WR,SEA,@GB,8.2,5200,0.8,17.6,8.4
Eddie Lacy,RB,SEA,@GB,9,6300,1.6,17.9,8.15
C.J. Prosise,RB,SEA,@GB,5.7,5300,0.3,15.2,7.45
Blair Walsh,K,SEA,@GB,7,4500,2.2,12.3,5.05
Tyler Lockett,WR,SEA,@GB,6.5,5900,0.3,16.2,7.95
Seattle Seahawks,DEF,SEA,@GB,5.9,4500,1.7,10.1,4.2
Luke Willson,TE,SEA,@GB,2.7,4500,0,11.6,5.8
Thomas Rawls,RB,SEA,@GB,2.9,5700,0,13,6.5
Chris Carson,RB,SEA,@GB,1.3,4500,0,11.7,5.85
Tanner McEvoy,WR,SEA,@GB,1.2,4500,0,11.3,5.65
Carlos Hyde,RB,SF,CAR,12.2,6800,4,20.6,8.3
Pierre Garcon,WR,SF,CAR,11.3,6600,3.5,20.4,8.45
George Kittle,TE,SF,CAR,5.4,4500,0.2,13.5,6.65
Brian Hoyer,QB,SF,CAR,14.8,6400,6.5,27.1,10.3
Marquise Goodwin,WR,SF,CAR,7.5,5400,0.1,16.9,8.4
Matt Breida,RB,SF,CAR,5,4700,0,14.7,7.35
Aldrick Robinson,WR,SF,CAR,5.4,5000,0,15.1,7.55
San Francisco 49ers,DEF,SF,CAR,5.6,4000,1.6,9.5,3.95
Robbie Gould,K,SF,CAR,6.6,4500,1.8,11.9,5.05
Garrett Celek,TE,SF,CAR,2.4,4500,0,11.5,5.75
